,source_id,ra,dec,pseudocolour,rp,bp,dist,gmag,pmra,pmdec,radial_velocity,x,y,z
3674,5036834080756453248,22.595651194221904,-26.207845299951053,,4.6898017,6.193153,166.35173,5.500119,43.162243,1.4234126,-5.7691803,137.79386940217992,57.34578134833348,73.4656994162379
3675,1836459472402822016,302.6398313748679,26.904223958409982,,5.409686,5.5348315,142.46944,5.5001626,18.673878,12.598559,0.0,68.52475761479741,-106.98524270060345,-64.4674861619393
3676,5878391686425601024,218.7044943259981,-60.96427993870894,,4.032384,8.005677,325.26144,5.5002027,25.831469,1.6266714,26.85315,-123.19661930176514,-98.71497061954662,284.3817010974363
3677,3045373881522901632,107.01428842381642,-11.92326566608148,,4.3648305,6.902108,679.9454,5.500237,-6.269601,2.4853194,0.0,-194.66644027700318,636.1577853832484,140.4777423911726
3678,1286562714855928832,221.30736971679696,32.788043704850125,,4.4867067,6.526904,230.04288,5.5002427,44.901268,-67.79091,28.30114,-145.27232678412872,-127.65796869681262,-124.5757630425089
3679,6761439646874717440,281.6966933551587,-29.63181044171767,,4.2386303,7.171675,269.99216,5.500355,-32.24665,-36.746674,-31.864494,47.577414785015854,-229.80943514451928,133.49074717896048
3680,3925246860369949824,178.91893523107814,15.646827758921887,,5.3801365,5.557129,129.2394,5.5004816,10.5915165,1.8794655,0.0,-124.42795354447293,2.3480026447178384,-34.85676078861717
3681,33260918230834048,42.87341327035664,15.081958079042348,,5.575978,5.4426904,140.99942,5.5005884,29.635761,-24.649662,0.0,99.7733174404515,92.62884909649986,-36.6881163637648
3682,2414986756795427328,1.0826877290408568,-16.529307398302898,,4.807245,6.031848,104.6376,5.500603,48.74769,-60.925167,25.935665,100.29547210468684,1.8954555556064625,29.76999928274616
3683,4654833539071572736,70.7666512823955,-70.93087311937408,,5.581613,5.4421864,143.1255,5.500664,9.820837,34.452545,12.011918,15.403617271309338,44.15040470833361,135.2715013936763
3684,5986255327629283072,235.24238683470656,-47.73628358444968,,4.5206246,6.471996,275.40045,5.5007086,-35.45116,-43.159275,-53.069866,-105.59440451088912,-152.17052779084054,203.81207046701192
3685,1693159194226600192,181.3158756560387,76.90532315922019,,4.8169,6.024136,100.47424,5.5010715,147.18288,-92.46391,-20.342283,-22.75752287263864,-0.5227494374250146,-97.86161039603118
3686,3121655180756368128,93.89206792943187,-0.5131597513847594,1.6087431,5.0771685,5.749066,36.290752,5.5015097,-158.27353,-218.39954,-39.732826,-2.463214740041851,36.205601928299984,0.3250275056435923
3687,2891652569589516160,95.15100257105964,-34.144051532795146,1.8442022,5.6321445,5.3825693,552.4474,5.501668,0.6410377,20.709396,0.0,-41.04975917751797,455.3750439206598,310.0751786462195
3688,4234693000585922304,297.79620872545223,-2.4611693733124302,1.3537512,4.583929,6.37912,171.4204,5.501711,-7.3184824,-40.810104,8.02371,79.86441190079451,-151.5006342713001,7.361186269480988
3689,1739509072535934464,322.1035257783337,8.195530618915264,,4.4030733,6.675637,269.2133,5.501913,7.428552,-26.344587,-7.452757,210.2725104771802,-163.67190317831765,-38.37682040635422
3690,6239382008325929216,234.45002425229697,-23.14206344742517,,4.807937,6.038511,91.49204,5.5020647,-30.777916,-80.17871,2.6035056,-48.91424469996221,-68.44887503907145,35.957496501833944
3691,1972438304486314112,321.3326772633923,46.71455529415191,,5.202465,5.673272,34.065,5.502326,188.77734,48.142006,-7.351053,18.236138957435614,-14.59283398936233,-24.797513122972845
3692,2017341569086066560,355.58743479811363,64.5153749516496,,4.364656,6.836749,342.7308,5.502545,13.1024685,-4.0790195,-5.6850533,147.02929226771687,-11.345723057665936,-309.38335936535606
3693,1929469531805599360,343.52971752809003,40.37703084035093,,4.7915754,6.063917,94.87294,5.503276,106.718605,36.111145,-6.546137,69.30839648293491,-20.49098608537711,-61.46007167630686
3694,6026472336300108928,253.99071239402457,-33.506842683485615,,4.4801807,6.5728602,233.37547,5.5033197,14.575738,6.856787,-91.076416,-53.66745134070312,-187.04620689723475,128.83179401712533
3695,6543180777633357696,345.9985685671284,-41.478643793120696,,4.8134727,6.0358763,95.010185,5.50337,12.346961,56.449993,-14.750782,69.06704612600286,-17.222181467085353,62.92912567863627
3696,1832052423642038912,305.5142977474196,24.446072308443167,,5.530254,5.463603,382.15707,5.5039353,0.88189054,-6.542516,0.0,202.09556937827392,-283.1780385996392,-158.15057838502332
3697,2177146753732731392,319.3094968799535,55.79806186669304,,4.6624265,6.241348,376.4468,5.5040817,16.8219,13.546073,-21.762335,160.44790145523805,-137.96070369730293,-311.3446777836345
3698,2174336062728231040,325.1628058158378,54.32466277929231,1.2350979,3.8921647,8.598934,560.4386,5.5042033,-9.863012,-10.522482,0.0,268.2657921785553,-186.70796902262447,-455.26368559354574
3699,3278970486957732224,67.13392769119415,1.3807346001815024,,5.5817065,5.4475236,155.41824,5.5045633,20.236002,-20.406075,0.0,60.374636394293915,143.163221035908,-3.744962960850768
